positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
補台,下等,不好,奇,太甚,這般,,,
不看僧面看佛面,下等的,不如,入骨,特,這樣,,,
不愧,下跌,不安,甚為,特別,足,,,
不勝欣忭,下獄,不早,十二分,尤,足足,,,
不惜,下層社會,不朽,十分,尤其,,,,
不厭,下暴雨,不行,十足,尤為,,,,
睬,上當,不但,死,尤以,,,,
採納,上鉤,不住,滔天,遠,,,,
參拜,上癮,不克,痛,著實,,,,
參謁,上癮者,不免,透,曷,,,,
側重,久坐,不利,完全,磣,,,,
饞,久坐的,不妨,完完全全,大,,,,
暢快,久經,不快,萬,,,,,
唱喏,久經世故,不決,萬般,,,,,
倡,久經世故的,不肖,萬分,,,,,
朝拜,乞丐,不良,萬萬,,,,,
朝思暮想,乞求,不足,無比,,,,,
撐檯面,乞討,不佳,無度,,,,,
撐腰,乞得,不和,無可估量,,,,,
稱,亡命,不奈,無以復加,,,,,
稱道,亡命者,不定,無以倫比,,,,,
稱快,口吃,不宜,要命,,,,,
稱賞,口角,不幸,要死,,,,,
稱頌,口渴,不怕,已極,,,,,
稱歎,口渴的,不拘小節,已甚,,,,,
稱羨,土匪,不明,異常,,,,,
稱謝,士氣低落,不服,逾常,,,,,
稱心,大叫,不知,賊,,,,,
稱心如意,大叫大嚷著要求,不知所措,之極,,,,,
稱心如願,大失敗,不肯,之至,,,,,
稱許,大吃一驚,不便,至極,,,,,
稱譽,大吃一驚的,不客氣,卓絕,,,,,
稱願,大批出沒,不是,最為,,,,,
稱讚,大災難,不為,佼佼,,,,,
承,大雨,不甚,郅,,,,,
承蒙,大洪水,不耐,綦,,,,,
承情,大恐慌,不耐煩,,,,,,
承望,大浪,不致於,最,,,,,
承應,大破壞,不要,,,,,,
騁懷,大屠殺,不計,,,,,,
吃醋,大量殺戮,不計其數,,,,,,
癡,大量噴出,不准,,,,,,
癡戀,大傷,不容置疑,,,,,,
癡迷,大意,不屑,,,,,,
癡情,大意的,不悅,,,,,,
癡心不改,大話,不料,,,,,,
癡心妄想,大禍,不時,,,,,,
馳念,大錯,不能,,,,,,
馳思,大聲,不配,,,,,,
崇,大聲的要求,不停,,,,,,
崇拜,大聲要求,不夠,,,,,,
崇敬,大聲要求的,不常,,,,,,
崇尚,大膽,不得不,,,,,,
崇仰,大膽的,不惜,,,,,,
寵,大嚷,不清,,,,,,
寵愛,大變革,不清不楚,,,,,,
寵倖,大變動,不爽,,,,,,
酬謝,大驚小怪,不理,,,,,,
躊躇滿志,女巫,不祥,,,,,,
出迎,子彈,不符,,,,,,
垂愛,小人,不許,,,,,,
垂念,小心,不通,,,,,,
垂青,小卒,不測,,,,,,
垂涎,小氣,不無,,,,,,
垂涎三尺,小氣的,不然,,,,,,
垂涎欲滴,小偷,不順,,,,,,
春風得意,小規模戰鬥,不須,,,,,,
春風滿面,小傢伙,不僅,,,,,,
醋意大發,小搗蛋,不幹,,,,,,
措意,小衝突,不愧,,,,,,
答禮,小題大作,不會,,,,,,
答謝,工作過度,不當,,,,,,
答應,工作過度的,不禁,,,,,,
打千,己見,不虞,,,,,,
大快人心,已過盛年,不解,,,,,,
大喜過望,已過盛年的,不該,,,,,,
戴,干涉,不詳,,,,,,
膽敢,干擾,不過,,,,,,
彈冠相慶,干擾者,不對,,,,,,
當真,不一致,不對勁,,,,,,
當之無愧,不上算的,不滿,,,,,,
倒向,不大,不疑,,,,,,
道賀,不大可能,不算,,,,,,
道謝,不大可能之事,不管,,,,,,
得意,不小心,不需,,,,,,
得意忘形,不小心的,不論,,,,,,
點頭,不公平,不適,,,,,,
點頭稱是,不公平的,不獨,,,,,,
點頭哈腰,不公正,不瞞,,,,,,
電賀,不切實際,不謂,,,,,,
奠祭,不切實際的,不賴,,,,,,
弔祭,不友好,不錯,,,,,,
盯緊,不友好的,不懂,,,,,,
盯住,不友善,不應該,,,,,,
頂禮,不友善地,不濟,,,,,,
頂禮膜拜,不友善的,不講,,,,,,
抖,不及格,不斷,,,,,,
睹物思人,不太,不難,,,,,,
妒,不太可能的,不願,,,,,,
妒恨,不引人注意,不覺,,,,,,
妒火中燒,不引人注意的,不顧,,,,,,
妒嫉,不毛,不讓,,,,,,
妒忌,不毛的,切勿,,,,,,
妒羨,不充分,反,,,,,,
多留個心眼兒,不充分的,少,,,,,,
墮入愛河,不充足,毋須,,,,,,
墮入情網,不充足的,未,,,,,,
額手稱慶,不出場,未必,,,,,,
反哺,不加,未有,,,,,,
放膽,不加思考,未曾,,,,,,
放在心上,不加思考的,用不到,,,,,,
費心,不可,別,,,,,,
封禪,不可否認,否,,,,,,
瘋魔,不可否認的,否決,,,,,,
奉,不可抵抗,否定,,,,,,
奉若神明,不可抵抗的,否認,,,,,,
奉迎,不可信,決不,,,,,,
俯允,不可信的,沒人,,,,,,
甘,不可信的事物,沒什麼,,,,,,
甘心,不可信賴,沒出息,,,,,,
甘心情願,不可思議,沒正經,,,,,,
甘願,不可思議的,沒用,,,,,,
感,不可能之事,沒有,,,,,,
感恩,不可能的,沒志氣,,,,,,
感恩戴德,不可愛,沒見識,,,,,,
感激,不可愛的,沒事,,,,,,
感激不盡,不可預知,沒空,,,,,,
感激涕零,不可預知的,沒長進,,,,,,
感同身受,不可預測,沒指望,,,,,,
感謝,不可預測的,沒架子,,,,,,
感興趣,不可靠,沒甚麼,,,,,,
敢,不可靠的,沒意思,,,,,,
高看,不可避免,沒話說,,,,,,
高山仰止,不可避免的,沒輒,,,,,,
高興,不平,沒趣,,,,,,
歌頌,不平均,沒錯,,,,,,
留面子,不平均的,沒關係,,,,,,
給臉,不平坦,並非,,,,,,
給面子,不平坦的,尚未,,,,,,
恭而敬之,不平常,非,,,,,,
恭賀,不平常的,非得,,,,,,
恭敬,不平等,豈不,,,,,,
恭維,不平等的,豈不是,,,,,,
恭喜,不平整,從不,,,,,,
恭祝,不平衡,從未,,,,,,
供奉,不平衡的,毫不,,,,,,
公祭,不平靜,毫無,,,,,,
拱手,不平靜的,莫,,,,,,
顧,不必要,莫非,,,,,,
顧及,不必要的,無,,,,,,
顧盼自雄,不正,無力,,,,,,
顧全,不正的,無不,,,,,,
顧惜,不正直,無止境,,,,,,
掛牽,不正直的,無由,,,,,,
關愛,不正常,無有,,,,,,
關懷,不正常的興奮,無妨,,,,,,
關懷備至,不正當,無足輕重,,,,,,
關切,不正當的,無依無靠,,,,,,
關心,不正確,無法,,,,,,
關照,不正確的,無非,,,,,,
關注,不生育,無計,,,,,,
管,不生育的,無庸置疑,,,,,,
貫注,不休,無從,,,,,,
鬼迷心竅,不光明正大,無情,,,,,,
跪拜,不光明正大的,無理,,,,,,
跪叩,不吉利,無異,,,,,,
過,不吉利的,無視,,,,,,
過獎,不同意,無須,,,,,,
過問,不名譽,無意,,,,,,
過譽,不名譽的,無暇,,,,,,
哈,不合,無寧,,,,,,
酣暢,不合宜,無疑,,,,,,
豪情滿懷,不合宜的,無窮,,,,,,
好,不合法,無趣,,,,,,
好奇,不合法的,無禮,,,,,,
好情,不合時宜,無關,,,,,,
喝彩,不合時宜的,絕不,,,,,,
合掌,不合格,絕非,,,,,,
賀,不合格的,絕無,,,,,,
狠抓,不合情理之事,暫不,,,,,,
恨不得,不合理,還不是,,,,,,
恨不能,不合理的,難以,,,,,,
橫心,不合規定,,,,,,,
厚望,不合規定的,,,,,,,
懷,不合規格之物,,,,,,,
懷戀,不合意,,,,,,,
懷念,不合意的,,,,,,,
懷想,不合群,,,,,,,
歡,不合群的動物,,,,,,,
歡暢,不合標準,,,,,,,
歡歡喜喜,不合標準的,,,,,,,
歡快,不合適,,,,,,,
歡樂,不合適地代表,,,,,,,
歡鬧,不合適的,,,,,,,
歡聲雷動,不合邏輯,,,,,,,
歡騰,不合邏輯的,,,,,,,
歡天喜地,不在乎,,,,,,,
歡慰,不在乎的,,,,,,,
歡喜,不在意,,,,,,,
歡欣,不在意的,,,,,,,
歡欣鼓舞,不好,,,,,,,
歡迎,不如,,,,,,,
歡愉,不存在,,,,,,,
歡娛,不守,,,,,,,
歡悅,不守規矩,,,,,,,
歡忭,不守規矩的,,,,,,,
還禮,不安,,,,,,,
回敬,不安全,,,,,,,
回禮,不安全的,,,,,,,
魂牽夢繫,不安定,,,,,,,
魂牽夢縈,不安定的,,,,,,,
豁朗,不安的,,,,,,,
稽首,不安的狀態,,,,,,,
極熱心,不安寧,,,,,,,
集中,不安寧的,,,,,,,
集注,不安穩,,,,,,,
急,不安穩的,,,,,,,
嫉,不成比例,,,,,,,
嫉妒,不成比例的,,,,,,,
冀,不成功,,,,,,,
冀求,不成功的,,,,,,,
冀望,不成熟,,,,,,,
祭,不成熟的,,,,,,,
祭拜,不自在,,,,,,,
祭奠,不自在的,,,,,,,
祭掃,不自然,,,,,,,
祭祀,不自然的,,,,,,,
記掛,不住,,,,,,,
忌,不利,,,,,,,
忌妒,不利的,,,,,,,
嘉,不告而別,,,,,,,
嘉獎,不均勻,,,,,,,
嘉許,不均勻的,,,,,,,
夾道歡迎,不均等,,,,,,,
兼顧,不妊,,,,,,,
檢點,不妊的,,,,,,,
見愛,不妥當,,,,,,,
見義勇為,不妥當的,,,,,,,
獎,不孝,,,,,,,
獎勵,不完全,,,,,,,
獎賞,不完全的,,,,,,,
獎掖,不完美,,,,,,,
講,不完美的,,,,,,,
講究,不快,,,,,,,
講求,不快樂,,,,,,,
交口稱譽,不快樂的,,,,,,,
交口稱讚,不牢固,,,,,,,
叫好,不牢固的,,,,,,,
叫絕,不牢靠,,,,,,,
接受,不牢靠的,,,,,,,
皆大歡喜,不良,,,,,,,
盡,不良的,,,,,,,
盡孝,不見,,,,,,,
盡忠,不足,,,,,,,
驚喜,不足之處,,,,,,,
景仰,不足取,,,,,,,
敬,不足取的,,,,,,,
敬愛,不足的,,,,,,,
敬奉,不足額,,,,,,,
敬服,不兩立,,,,,,,
敬賀,不到,,,,,,,
敬禮,不到案,,,,,,,
敬慕,不協調,,,,,,,
敬佩,不受感動,,,,,,,
敬若神明,不受感動的,,,,,,,
敬畏,不受歡迎,,,,,,,
敬仰,不受歡迎的,,,,,,,
敬重,不和,,,,,,,
敬祝,不和的,,,,,,,
竟敢,不和諧,,,,,,,
鞠躬,不周到,,,,,,,
聚焦,不周到的,,,,,,,
聚精會神,不坦率,,,,,,,
眷愛,不坦率的,,,,,,,
眷戀,不定,,,,,,,
眷念,不定的,,,,,,,
開綠燈,不宜,,,,,,,
開心,不宜的,,,,,,,
看車,不幸,,,,,,,
看得起,不幸之事,,,,,,,
看得上,不幸事件,,,,,,,
看得上眼,不幸的,,,,,,,
看上,不幸的人,,,,,,,
看上眼,不忠,,,,,,,
看在,不忠的,,,,,,,
看中,不忠實,,,,,,,
看重,不忠實的,,,,,,,
考究,不易,,,,,,,
磕頭,不易的,,,,,,,
渴慕,不易瞭解,,,,,,,
渴念,不易瞭解的,,,,,,,
渴盼,不易彎曲,,,,,,,
渴求,不易彎曲的,,,,,,,
渴望,不明,,,,,,,
渴想,不明瞭,,,,,,,
肯,不明瞭的,,,,,,,
肯定,不明確,,,,,,,
肯於,不明確的,,,,,,,
口角春風,不服從,,,,,,,
酷愛,不服從的,,,,,,,
酷好,不注意,,,,,,,
誇,不注意的,,,,,,,
誇獎,不法,,,,,,,
誇讚,不法行為,,,,,,,
快,不法的,,,,,,,
快活,不直截了當,,,,,,,
快樂,不直截了當的,,,,,,,
快慰,不知,,,,,,,
快意,不知不覺,,,,,,,
寬暢,不知不覺的,,,,,,,
寬鬆,不知所措,,,,,,,
狂喜,不知的,,,,,,,
狂想,不知恩,,,,,,,
來神,不知羞恥,,,,,,,
樂,不知羞恥的,,,,,,,
樂不可支,不知道,,,,,,,
樂顛顛,不知道的,,,,,,,
樂呵呵,不肯,,,,,,,
樂樂呵呵,不肯定,,,,,,,
樂陶陶,不肯定的,,,,,,,
樂意,不肯接受,,,,,,,
樂悠悠,不肯越過障礙物,,,,,,,
樂於,不近,,,,,,,
樂滋滋,不近人情,,,,,,,
理會,不近人情的,,,,,,,
理直氣壯,不長,,,,,,,
禮贊,不長果實,,,,,,,
立項,不長果實的,,,,,,,
力主,不信,,,,,,,
憐愛,不信任,,,,,,,
戀,不信任的,,,,,,,
戀愛,不信實,,,,,,,
戀戀不捨,不信實的,,,,,,,
領情,不便,,,,,,,
留個心眼兒,不便之處,,,,,,,
留神,不便的,,,,,,,
留心,不厚道,,,,,,,
留意,不厚道的,,,,,,,
論功行賞,不恰當,,,,,,,
買帳,不恰當地,,,,,,,
滿,不流行,,,,,,,
滿懷豪情,不流行的,,,,,,,
滿懷激情,不流動,,,,,,,
滿面春風,不流動的,,,,,,,
滿心歡喜,不活潑,,,,,,,
滿意,不活潑的,,,,,,,
滿足,不為,,,,,,,
眉飛色舞,不為人喜,,,,,,,
美,不為人喜的,,,,,,,
美言,不省,,,,,,,
美滋滋,不省人事,,,,,,,
夢魂縈繞,不省人事的,,,,,,,
夢寐以求,不相宜,,,,,,,
夢想,不相信,,,,,,,
迷,不相容,,,,,,,
迷戀,不美,,,,,,,
迷上,不美的,,,,,,,
面有喜色,不耐,,,,,,,
鳴謝,不耐煩,,,,,,,
謬獎,不耐煩的,,,,,,,
膜拜,不負責任,,,,,,,
默認,不負責任的,,,,,,,
默許,不重要,,,,,,,
慕,不重要之人,,,,,,,
慕名,不重要的,,,,,,,
溺愛,不重視,,,,,,,
念,不值得,,,,,,,
拍案叫絕,不值得的,,,,,,,
拍手稱快,不值錢,,,,,,,
拍手叫好,不值錢的,,,,,,,
盼,不值錢的東西,,,,,,,
盼念,不修邊幅,,,,,,,
盼望,不准,,,,,,,
佩,不容易的,,,,,,,
佩服,不屑,,,,,,,
捧場,不屑做,,,,,,,
批准,不悅,,,,,,,
偏愛,不悅之色,,,,,,,
偏寵,不悅耳,,,,,,,
偏好,不悅耳的,,,,,,,
偏重,不留心,,,,,,,
飄飄然,不留心的,,,,,,,
飄飄欲仙,不留神,,,,,,,
迫切需要,不留神的,,,,,,,
普天同慶,不真實,,,,,,,
期,不真實的,,,,,,,
期待,不眠,,,,,,,
期盼,不眠的,,,,,,,
期望,不純,,,,,,,
祈盼,不純的,,,,,,,
起敬,不純潔,,,,,,,
企,不純潔的,,,,,,,
企慕,不能,,,,,,,
企盼,不能決定,,,,,,,
企望,不能決定的,,,,,,,
器重,不能征服,,,,,,,
牽腸掛肚,不能征服的,,,,,,,
牽掛,不能的,,,,,,,
千恩萬謝,不能肯定,,,,,,,
敲邊鼓,不能信賴,,,,,,,
瞧得起,不能信賴的,,,,,,,
瞧得上眼,不能容忍,,,,,,,
翹盼,不能容忍的,,,,,,,
翹企,不能區別,,,,,,,
翹望,不能區別的,,,,,,,
欽,不能勝任,,,,,,,
欽佩,不能勝任的,,,,,,,
親熱,不能想像,,,,,,,
親熱親熱,不能想像的,,,,,,,
輕快,不能解決,,,,,,,
傾慕,不能解決的,,,,,,,
傾向,不能解決問題,,,,,,,
傾心,不能解決問題的,,,,,,,
情有獨鍾,不能解釋,,,,,,,
情願,不能解釋的,,,,,,,
慶,不能說明,,,,,,,
慶賀,不能說明的,,,,,,,
慶倖,不能辨別,,,,,,,
慶祝,不能辨別的,,,,,,,
圈定,不能壓制,,,,,,,
饒有興趣,不能壓制的,,,,,,,
熱心,不能矯正,,,,,,,
人心大快,不能矯正的,,,,,,,
認,不能醫治,,,,,,,
認可,不能醫治的,,,,,,,
認了,不起作用,,,,,,,
認命,不高,,,,,,,
日有所思,不高興,,,,,,,
融融,不高興的,,,,,,,
容,不健全,,,,,,,
容許,不健全的,,,,,,,
如癡如狂,不健康,,,,,,,
如癡如醉,不健康的,,,,,,,
如獲至寶,不參加,,,,,,,
如意,不堅固,,,,,,,
如願以償,不堅固的,,,,,,,
如醉如癡,不夠,,,,,,,
入迷,不夠的,,,,,,,
入魔,不得人心,,,,,,,
入神,不得人心的,,,,,,,
賞,不得力,,,,,,,
賞識,不得力的,,,,,,,
賞賚,不得已,,,,,,,
尚,不得已的,,,,,,,
燒高香,不得要領,,,,,,,
奢望,不得要領的,,,,,,,
申謝,不情願,,,,,,,
伸張,不情願的,,,,,,,
神魂顛倒,不清,,,,,,,
神往,不清楚,,,,,,,
甚感歡慰,不清楚的,,,,,,,
盛讚,不理會,,,,,,,
施禮,不祥,,,,,,,
十分滿意,不祥的,,,,,,,
示好,不符,,,,,,,
示同意,不習慣,,,,,,,
示喜,不習慣的,,,,,,,
釋放善意,不莊重,,,,,,,
手舞足蹈,不莊重的,,,,,,,
首肯,不規則,,,,,,,
守候,不規則的,,,,,,,
守歲,不規則的事物,,,,,,,
舒暢,不許,,,,,,,
舒服,不勝任,,,,,,,
舒坦,不勝任的,,,,,,,
屬望,不喜歡,,,,,,,
屬意,不尊重,,,,,,,
樹碑立傳,不尋常,,,,,,,
爽,不尋常的,,,,,,,
爽快,不愉快,,,,,,,
爽心,不愉快的,,,,,,,
爽怡,不愉快的事,,,,,,,
說好,不景氣,,,,,,,
說好話,不景氣的,,,,,,,
說妥,不發達,,,,,,,
說項,不結果,,,,,,,
思,不結果的,,,,,,,
思戀,不結果實,,,,,,,
思慕,不結果實的,,,,,,,
思念,不舒服,,,,,,,
松心,不舒服的,,,,,,,
頌,不舒適,,,,,,,
頌揚,不舒適的,,,,,,,
頌贊,不雅觀,,,,,,,
送往迎來,不雅觀的,,,,,,,
隨心,不順利,,,,,,,
遂心,不順利的,,,,,,,
遂意,不順當,,,,,,,
抬愛,不順當地,,,,,,,
抬舉,不新鮮,,,,,,,
貪,不新鮮的,,,,,,,
貪戀,不會,,,,,,,
貪圖,不會的,,,,,,,
歎,不經意說出,,,,,,,
嘆服,不經濟,,,,,,,
歎賞,不經濟的,,,,,,,
歎為觀止,不誠實,,,,,,,
嘆羨,不誠實的,,,,,,,
陶然,不道德,,,,,,,
陶陶,不道德的,,,,,,,
陶醉,不像,,,,,,,
特許,不像真實,,,,,,,
疼,不像真實的,,,,,,,
疼愛,不寧,,,,,,,
疼惜,不實在,,,,,,,
提倡,不實在的,,,,,,,
甜絲絲,不對,,,,,,,
甜滋滋,不對頭,,,,,,,
挑三揀四,不對頭地,,,,,,,
挑眼,不滿,,,,,,,
通過,不滿足,,,,,,,
通融,不滿意,,,,,,,
同意,不滿意的,,,,,,,
吐口,不稱心,,,,,,,
吐氣揚眉,不稱心地,,,,,,,
推,不端,,,,,,,
推崇,不管,,,,,,,
推戴,不管怎樣,,,,,,,
推許,不管怎樣地,,,,,,,
推重,不精密,,,,,,,
推尊,不精密的,,,,,,,
望,不精確,,,,,,,
望眼欲穿,不說話,,,,,,,
忘乎所以,不說話的,,,,,,,
妄想,不遜,,,,,,,
維護,不遜的,,,,,,,
畏,不履行,,,,,,,
溫存,不樂,,,,,,,
問心無愧,不潔,,,,,,,
無愧,不潔的,,,,,,,
嘻嘻哈哈,不潔淨,,,,,,,
稀罕,不潔淨的,,,,,,,
希,不熟悉,,,,,,,
希罕,不熟悉的,,,,,,,
希冀,不確,,,,,,,
希圖,不確定,,,,,,,
希望,不確定的,,,,,,,
惜,不確的,,,,,,,
喜,不確信,,,,,,,
喜愛,不確實,,,,,,,
喜不自禁,不確實的,,,,,,,
喜不自勝,不調和,,,,,,,
喜衝衝,不調和的,,,,,,,
喜出望外,不適,,,,,,,
喜好,不適任,,,,,,,
喜歡,不適任的,,,,,,,
喜樂,不適時,,,,,,,
喜眉笑眼,不適時的,,,,,,,
喜氣洋洋,不適當,,,,,,,
喜上眉梢,不適當的,,,,,,,
喜上心頭,不適應環境,,,,,,,
喜興,不適應環境的,,,,,,,
喜形於色,不整齊,,,,,,,
喜幸,不整齊的,,,,,,,
喜洋洋,不親切,,,,,,,
喜吟吟,不親切的,,,,,,,
喜盈盈,不懂事,,,,,,,
喜悅,不懂事的,,,,,,,
喜滋滋,不檢,,,,,,,
喜孜孜,不講道理,,,,,,,
顯揚,不講道理的,,,,,,,
羨,不賺錢,,,,,,,
羡慕,不賺錢的,,,,,,,
相中,不斷,,,,,,,
想,不斷引起苦惱,,,,,,,
想念,不斷地找..的岔子,,,,,,,
想望,不斷嘮叨,,,,,,,
向,不斷騷擾,,,,,,,
傾斜,不禮貌,,,,,,,
嚮往,不謹慎,,,,,,,
向著,不謹慎的,,,,,,,
銷魂,不穩,,,,,,,
消魂,不穩固,,,,,,,
孝敬,不穩固的,,,,,,,
孝順,不穩定,,,,,,,
寫意,不穩定的,,,,,,,
謝,不識,,,,,,,
謝天謝地,不識字,,,,,,,
謝謝,不識字的,,,,,,,
欣,不贊同,,,,,,,
欣賞,不贊成,,,,,,,
欣慰,不關,,,,,,,
欣喜,不關心,,,,,,,
欣喜若狂,不關心的,,,,,,,
欣羡,不關緊要之事,,,,,,,
欣幸,不願意,,,,,,,
忻,不願意的,,,,,,,
心馳神往,不嚴密,,,,,,,
心蕩神馳,不覺,,,,,,,
心甘,不顧,,,,,,,
心甘情願,不顧一切,,,,,,,
心花怒放,不顧一切地,,,,,,,
心曠神怡,不顧後果,,,,,,,
心滿意足,不顧後果的,,,,,,,
心疼,不聽話,,,,,,,
心向,不聽話的,,,,,,,
心醉,不體面,,,,,,,
興高采烈,不體面的,,,,,,,
行禮,中止,,,,,,,
需,中傷,,,,,,,
需要,中傷性,,,,,,,
許,中傷性的,,,,,,,
許可,中傷者,,,,,,,
軒然,中斷,,,,,,,
懸紅,互撞,,,,,,,
懸賞,仇恨,,,,,,,
眼饞,仇敵,,,,,,,
眼紅,介意,,,,,,,
眼熱,內疚,,,,,,,
豔羨,內情,,,,,,,
揚眉吐氣,公憤,,,,,,,
揚揚,冗長,,,,,,,
揚揚得意,冗長乏味,,,,,,,
揚揚自得,冗長乏味的,,,,,,,
洋洋得意,冗長的,,,,,,,
洋洋自得,冗語,,,,,,,
仰,冗餘,,,,,,,
仰慕,凶兆,,,,,,,
搖頭擺尾,分心,,,,,,,
搖頭晃腦,分心的事物,,,,,,,
要,分歧,,,,,,,
夜有所夢,分泌毒液,,,,,,,
一往情深,分泌毒液的,,,,,,,
揖,分割,,,,,,,
依依不捨,分裂,,,,,,,
依允,分裂的,,,,,,,
以期,分開,,,,,,,
以求,分隔,,,,,,,
意欲,分離,,,,,,,
溢美,分離的,,,,,,,
引頸企待,切斷,,,,,,,
引領,勾引,,,,,,,
應,勾結,,,,,,,
應承,化膿,,,,,,,
應下,厄運,,,,,,,
應許,反托拉斯,,,,,,,
應允,反托拉斯的,,,,,,,
應准,反作用,,,,,,,
迎,反抗,,,,,,,
迎候,反抗的,,,,,,,
迎接,反衝,,,,,,,
迎來,反衝的,,,,,,,
迎迓,反社會,,,,,,,
擁,反叛,,,,,,,
擁戴,反叛者,,,,,,,
擁護,反動,,,,,,,
詠贊,反動分子,,,,,,,
用,反動主義,,,,,,,
用心良苦,反動主義的,,,,,,,
有心,反動主義者,,,,,,,
有意,反動的,,,,,,,
俞允,反動派,,,,,,,
愉,反常,,,,,,,
愉快,反常的,,,,,,,
愉悅,反常現象,,,,,,,
欲,反覆,,,,,,,
譽,反覆告訴,,,,,,,
願,反覆無常,,,,,,,
願意,反感,,,,,,,
躍躍欲試,反話,,,,,,,
悅,反對,,,,,,,
悅服,反對..提案,,,,,,,
允,反對改革,,,,,,,
允許,反對改革的,,,,,,,
允准,反對的,,,,,,,
在乎,反對者,,,,,,,
在心,反駁,,,,,,,
在意,反駁的,,,,,,,
贊,反諷,,,,,,,
贊成,反覆無常的,,,,,,,
贊服,反壟斷,,,,,,,
讚美,反壟斷的,,,,,,,
贊慕,反證,,,,,,,
贊佩,太過,,,,,,,
讚賞,太過自信,,,,,,,
讚頌,太過自信的,,,,,,,
讚歎,太遲,,,,,,,
贊同,太遲的,,,,,,,
贊羨,少給,,,,,,,
贊許,巴掌,,,,,,,
讚揚,巴結,,,,,,,
讚譽,幻想,,,,,,,
沾沾自喜,引起不舒服,,,,,,,
照準,引起死亡,,,,,,,
折服,引起疼痛,,,,,,,
珍,引起緊張,,,,,,,
珍愛,引起緊張的,,,,,,,
珍視,引起嘲笑,,,,,,,
珍惜,引起嘲笑的,,,,,,,
珍重,引起震驚,,,,,,,
正中下懷,引起震驚的事件,,,,,,,
支持,引誘,,,,,,,
知冷知熱,心甘情願,,,,,,,
知冷著熱,心地不好,,,,,,,
知足,心地不好的,,,,,,,
指靠,心神不安,,,,,,,
指望,心神不安的,,,,,,,
志願,心神不定,,,,,,,
摯愛,心情不穩,,,,,,,
致賀,心情不穩的,,,,,,,
致敬,心情浮動,,,,,,,
致謝,心情浮動的,,,,,,,
中意,心眼壞,,,,,,,
鐘,心眼壞的,,,,,,,
鍾愛,心智衰弱,,,,,,,
鍾情,心虛,,,,,,,
重,心虛的,,,,,,,
重視,心慌,,,,,,,
重在,支付利息,,,,,,,
矚目,支吾,,,,,,,
矚望,支配,,,,,,,
主持,文盲,,,,,,,
注,木棍,,,,,,,
注意,欠缺,,,,,,,
注重,欠缺的,,,,,,,
祝,欠錢,,,,,,,
祝福,止步,,,,,,,
祝賀,歹徒,,,,,,,
祝頌,毛病,,,,,,,
祝願,毛骨悚然,,,,,,,
抓,毛骨悚然的,,,,,,,
抓緊,水妖,,,,,,,
准,水性楊花,,,,,,,
准許,水性楊花的女人,,,,,,,
准予,水雷,,,,,,,
著迷,火災,,,,,,,
著想,犬儒,,,,,,,
著眼,犬儒主義,,,,,,,
著眼於,世仇,,,,,,,
自得,世代結仇,,,,,,,
自得其樂,世俗,,,,,,,
自告奮勇,世俗的,,,,,,,
自滿,世故,,,,,,,
自鳴得意,世界末日,,,,,,,
自認,世界的末日,,,,,,,
自願,乏味,,,,,,,
自足,乏味的,,,,,,,
宗仰,以..為賭注,,,,,,,
